Zipcode,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home",Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
12815,368,283,49,0,350,283,49,0
12816,2043,1556,207,0,1902,1556,207,0
12817,784,621,24,0,728,621,24,0
12819,94,81,11,0,94,81,11,0
12821,104,104,0,0,104,104,0,0
12822,2784,2226,334,10,2684,2226,334,10
12823,19,19,0,0,19,19,0,0
12824,373,238,53,14,316,238,53,14
12827,1861,1542,142,8,1770,1542,142,8
12828,4615,3747,544,30,4438,3747,544,30
12831,8548,7037,844,83,8038,7037,844,83
12832,2795,2183,378,5,2690,2183,378,5
12833,2154,1751,245,11,2056,1751,245,11
12834,3395,2735,366,1,3231,2735,366,1
12835,1065,856,156,7,1032,856,156,7
12836,229,189,13,0,205,189,13,0
12837,381,307,59,1,381,307,59,1
12838,238,187,39,0,226,187,39,0
12839,6322,5296,596,34,6063,5296,596,34
12841,26,16,4,0,24,16,4,0
12842,471,387,56,0,465,387,56,0
12843,236,171,52,0,223,171,52,0
12844,40,20,12,0,37,20,12,0
12845,2404,1955,240,12,2339,1955,240,12
12846,1691,1470,102,0,1631,1470,102,0
12847,273,203,6,2,265,203,6,2
12849,244,215,8,0,223,215,8,0
12850,1521,1248,170,42,1477,1248,170,42
12851,84,73,7,0,82,73,7,0
12852,235,160,64,0,227,160,64,0
12853,585,409,73,0,499,409,73,0
12855,85,66,12,0,82,66,12,0
12856,37,37,0,0,37,37,0,0
12857,178,130,42,0,178,130,42,0
12858,12,0,7,0,12,0,7,0
12859,1337,1154,103,14,1298,1154,103,14
12860,354,248,15,0,337,248,15,0
12861,221,193,14,0,212,193,14,0
12862,0,0,0,0,0,0,0,0
12863,247,203,21,0,247,203,21,0
12864,22,16,6,0,22,16,6,0
12865,1847,1486,99,0,1720,1486,99,0
12866,18367,14110,1365,132,17251,14110,1365,132
12870,781,590,30,12,674,590,30,12
12871,2037,1719,124,5,1948,1719,124,5
12872,28,28,0,0,28,28,0,0
12873,330,247,31,12,298,247,31,12
12874,53,36,4,2,47,36,4,2
12878,444,355,78,0,433,355,78,0
12883,2419,1994,146,0,2334,1994,146,0
12884,166,153,11,2,166,153,11,2
12885,1872,1386,312,9,1799,1386,312,9
12886,89,69,6,0,89,69,6,0
12887,2107,1449,515,0,2049,1449,515,0
12901,15008,10658,1778,141,14565,10658,1778,141
12903,453,359,70,0,435,359,70,0
12910,757,642,92,6,740,642,92,6
12911,15,15,0,0,15,15,0,0
12912,1119,840,119,17,1041,840,119,17
12913,519,454,30,0,490,454,30,0
12914,262,210,40,0,250,210,40,0
